referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
ARA-003-ROCHA;;ARANDELA 20CM - ROCHA SELENITA - FITA DE LED 3000K - 6W;;724.50;9.75;1
ARA-003-ROCHA;FOLHA DE OURO;ARANDELA 20CM - ROCHA SELENITA - FITA DE LED 3000K - 6W;;833.18;9.75;1
ARA-002-ROCHA;;ARANDELA 15CM - ROCHA SELENITA - FITA DE LED 3000K - 4W;;541.53;9.75;1
ARA-002-ROCHA;FOLHA DE OURO;ARANDELA 15CM - ROCHA SELENITA - FITA DE LED 3000K - 4W;;622.75;9.75;1
ARA-001-ROCHA;;ARANDELA 10CM - ROCHA SELENITA - FITA DE LED 3000K - 2W;;375.87;9.75;1
ARA-001-ROCHA;FOLHA DE OURO;ARANDELA 10CM - ROCHA SELENITA - FITA DE LED 3000K - 2W;;432.25;9.75;1
ARA-004-ONIX;;ARANDELA 25CM - ONIX - FITA DE LED 3000K - 8W;;1484.90;9.75;1
ARA-004-ONIX;FOLHA DE OURO;ARANDELA 25CM - ONIX - FITA DE LED 3000K - 8W;;1707.64;9.75;1
ARA-003-ONIX;;ARANDELA 20CM - ONIX - FITA DE LED 3000K - 6W;;940.01;9.75;1
ARA-003-ONIX;FOLHA DE OURO;ARANDELA 20CM - ONIX - FITA DE LED 3000K - 6W;;1081.02;9.75;1
ARA-002-ONIX;;ARANDELA 15CM - ONIX - FITA DE LED 3000K - 4W;;621.81;9.75;1
ARA-002-ONIX;FOLHA DE OURO;ARANDELA 15CM - ONIX - FITA DE LED 3000K - 4W;;715.08;9.75;1
ARA-001-ONIX;;ARANDELA 10CM - ONIX - FITA DE LED 3000K - 2W;;399.33;9.75;1
ARA-001-ONIX;FOLHA DE OURO;ARANDELA 10CM - ONIX - FITA DE LED 3000K - 2W;;459.23;9.75;1
A0209;;ARANDELA Ø40CM - CUPULA ONIX DE Ø25CM - FITA DE LED 3000K - 6W - COM BASE;;2070.21;9.75;1
A0209;FOLHA DE OURO;ARANDELA Ø40CM - CUPULA ONIX DE Ø25CM - FITA DE LED 3000K - 6W - COM BASE;;2380.74;9.75;1
A0210;;ARANDELA Ø30CM - CUPULA ONIX DE Ø20CM - FITA DE LED 3000K - 4W - COM BASE;;1377.59;9.75;1
A0210;FOLHA DE OURO;ARANDELA Ø30CM - CUPULA ONIX DE Ø20CM - FITA DE LED 3000K - 4W - COM BASE;;1584.23;9.75;1
A0211;;ARANDELA Ø40CM - CUPULA ROCHA SELENITA DE Ø20CM - FITA DE LED 3000K - 6W - COM BASE;;1260.69;9.75;1
A0211;FOLHA DE OURO;ARANDELA Ø40CM - CUPULA ROCHA SELENITA DE Ø20CM - FITA DE LED 3000K - 6W - COM BASE;;1449.80;9.75;1
A0212;;ARANDELA Ø30CM - CUPULA ROCHA SELENITA DE Ø15CM - FITA DE LED 3000K - 4W - COM BASE;;923.95;9.75;1
A0212;FOLHA DE OURO;ARANDELA Ø30CM - CUPULA ROCHA SELENITA DE Ø15CM - FITA DE LED 3000K - 4W - COM BASE;;1062.54;9.75;1
L0117;;RED. 60CM - 6 CUPULAS SELENITA - FITA DE LED 3000K 18W - PEND 2M;;2894.92;9.75;1
L0117;FOLHA DE OURO;RED. 60CM - 6 CUPULAS SELENITA - FITA DE LED 3000K 18W - PEND 2M;;3329.16;9.75;1
L0114;;RED. 80CM - 8 CUPULAS SELENITA - FITA DE LED 3000K 24W - PEND 2M;;3046.45;9.75;1
