referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM3654;;LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 2700K BC/BC;45.10;9.75;1
LM3653;;LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 2700K PT/PT;45.10;9.75;1
LM3656;;LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 3000K BC/BC;45.10;9.75;1
LM3655;;LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 3000K PT/PT;45.10;9.75;1
LM3658;;LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 4000K BC/BC;45.10;9.75;1
LM3657;;LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 4000K PT/PT;45.10;9.75;1
LM3660;;LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 2700K BC/BC;55.25;9.75;1
LM3659;;LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 2700K PT/PT;55.25;9.75;1
LM3662;;LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 3000K BC/BC;55.25;9.75;1
LM3661;;LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 3000K PT/PT;55.25;9.75;1
LM3664;;LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 4000K BC/BC;55.25;9.75;1
LM3663;;LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 4000K PT/PT;55.25;9.75;1
LM2156;;DE LED 1 SPOT DE EMBUTIR 2W 2700K BC/PT DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM2161;;DE LED 1 SPOT DE EMBUTIR 2W 2700K PT/PT DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM2850;;DE LED 1 SPOT DE EMBUTIR 2W 3000K BC/BC DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM2818;;DE LED 1 SPOT DE EMBUTIR 2W 3000K BC/PT DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM2823;;DE LED 1 SPOT DE EMBUTIR 2W 3000K PT/PT DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM3377;;DE LED 1 SPOT DE EMBUTIR 2W 4000K BC/BC DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM2590;;DE LED 1 SPOT DE EMBUTIR 2W 4000K BC/PT DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM2595;;DE LED 1 SPOT DE EMBUTIR 2W 4000K PT/PT DOT-LIGHT CONCENTRADO;23.65;9.75;1
LM2157;;DE LED 3 SPOTS DE EMBUTIR 6W 2700K BC/PT DOT-LIGHT CONCENTRADO;31.75;9.75;1
LM2162;;DE LED 3 SPOTS DE EMBUTIR 6W 2700K PT/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM2851;;DE LED 3 SPOTS DE EMBUTIR 6W 3000K BC/BC DOT-LIGHT CONCENTRADO;34.20;9.75;1
LM2819;;DE LED 3 SPOTS DE EMBUTIR 6W 3000K BC/PT DOT-LIGHT CONCENTRADO;34.20;9.75;1
LM2824;;DE LED 3 SPOTS DE EMBUTIR 6W 3000K PT/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM3378;;DE LED 3 SPOTS DE EMBUTIR 6W 4000K BC/BC DOT-LIGHT CONCENTRADO;34.20;9.75;1
LM2591;;DE LED 3 SPOTS DE EMBUTIR 6W 4000K BC/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM2596;;DE LED 3 SPOTS DE EMBUTIR 6W 4000K PT/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM2158;;DE LED 5 SPOTS DE EMBUTIR 10W 2700K BC/PT DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM2163;;DE LED 5 SPOTS DE EMBUTIR 10W 2700K PT/PT DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM2852;;DE LED 5 SPOTS DE EMBUTIR 10W 3000K BC/BC DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM2820;;DE LED 5 SPOTS DE EMBUTIR 10W 3000K BC/PT DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM2825;;DE LED 5 SPOTS DE EMBUTIR 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM3379;;DE LED 5 SPOTS DE EMBUTIR 10W 4000K BC/BC DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM2592;;DE LED 5 SPOTS DE EMBUTIR 10W 4000K BC/PT DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM2597;;DE LED 5 SPOTS DE EMBUTIR 10W 4000K PT/PT DOT-LIGHT CONCENTRADO;37.25;9.75;1
LM2159;;DE LED 10 SPOTS DE EMBUTIR 20W 2700K BC/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2164;;DE LED 10 SPOTS DE EMBUTIR 20W 2700K PT/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2853;;DE LED 10 SPOTS DE EMBUTIR 20W 3000K BC/BC DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2821;;DE LED 10 SPOTS DE EMBUTIR 20W 3000K BC/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2826;;DE LED 10 SPOTS DE EMBUTIR 20W 3000K PT/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM3380;;DE LED 10 SPOTS DE EMBUTIR 20W 4000K BC/BC DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2593;;DE LED 10 SPOTS DE EMBUTIR 20W 4000K BC/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2598;;DE LED 10 SPOTS DE EMBUTIR 20W 4000K PT/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2160;;DE LED 15 SPOTS DE EMBUTIR 30W 2700K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2165;;DE LED 15 SPOTS DE EMBUTIR 30W 2700K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2854;;DE LED 15 SPOTS DE EMBUTIR 30W 3000K BC/BC DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2822;;DE LED 15 SPOTS DE EMBUTIR 30W 3000K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2827;;DE LED 15 SPOTS DE EMBUTIR 30W 3000K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM3381;;DE LED 15 SPOTS DE EMBUTIR 30W 4000K BC/BC DOT-LIGHT CONCENTRADO;102.60;9.75;2
LM2594;;DE LED 15 SPOTS DE EMBUTIR 30W 4000K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2599;;DE LED 15 SPOTS DE EMBUTIR 30W 4000K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2915;;DE LED 3 SPOTS DE SOBREPOR 6W 3000K BC/PT DOT-LIGHT CONCENTRADO;34.20;9.75;2
LM2916;;DE LED 3 SPOTS DE SOBREPOR 6W 3000K PT/PT DOT-LIGHT CONCENTRADO;34.20;9.75;2
LM2917;;DE LED 5 SPOTS DE SOBREPOR 10W 3000K BC/PT DOT-LIGHT CONCENTRADO;54.30;9.75;2
LM2918;;DE LED 5 SPOTS DE SOBREPOR 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;54.30;9.75;2
LM2919;;DE LED 10 SPOTS DE SOBREPOR 20W 3000K BC/PT DOT-LIGHT CONCENTRADO;82.30;9.75;2
LM2920;;DE LED 10 SPOTS DE SOBREPOR 20W 3000K PT/PT DOT-LIGHT CONCENTRADO;82.30;9.75;2
LM3383;;DE LED 5 SPOTS DE EMBUTIR DIRECIONÁVEL 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;51.50;9.75;2
LM3384;;DE LED 5 SPOTS DE EMBUTIR DIRECIONÁVEL 10W 3000K BC/BC DOT-LIGHT CONCENTRADO;51.50;9.75;2
LM3386;;DE LED 10 SPOTS DE EMBUTIR DIRECIONÁVEL 20W 3000K BC/BC DOT-LIGHT CONCENTRADO;79.30;9.75;2
LM3385;;DE LED 10 SPOTS DE EMBUTIR DIRECIONÁVEL 20W 3000K PT/PT DOT-LIGHT CONCENTRADO;76.99;9.75;2
LM3193;;FLUX 28W 3000K 127-220V BC;430.85;9.75;2
LM3192;;FLUX 28W 3000K 127-220V PT;430.85;9.75;2
LM3535;;FLUX 28W 4000K 127-220V BC;407.95;9.75;2
LM3534;;FLUX 28W 4000K 127-220V PT;407.95;9.75;2
LM3191;;FLUX MOVI LUZ DIR. E IND. COM SENSOR PARA DIMERIZAÇÃO 30W 3000K 127-220V BC;545.80;9.75;2
LM3190;;FLUX MOVI LUZ DIR. E IND. COM SENSOR PARA DIMERIZAÇÃO 30W 3000K 127-220V PT;545.80;9.75;2
LM3210;;P/ INSTALAÇAO NO FORRO PD FLUX;20.35;9.75;2
LM3558;;SPOT DE SOBREPOR REDONDO 1W 3000K 24V IRC 90 PT;36.05;9.75;2
LM3559;;SPOT DE SOBREPOR REDONDO 1W 3000K 24V IRC 90 BC;36.05;9.75;2
LM3178;;SPOT DE EMBUTIR QUADRADO 1W 3000K 24V IRC 90 PT;47.85;9.75;2
LM3179;;SPOT DE EMBUTIR QUADRADO 1W 3000K 24V IRC 90 BC;47.85;9.75;2
LM3176;;SPOT DE EMBUTIR REDONDO 1W 3000K 24V IRC 90 PT;45.55;9.75;2
LM3177;;SPOT DE EMBUTIR REDONDO 1W 3000K 24V IRC 90 BC;45.55;9.75;2
LM3180;;SPOT DE EMBUTIR REDONDO COM HASTE 2W 3000K 24V IRC 90 PT;98.35;9.75;2
LM3181;;SPOT DE EMBUTIR REDONDO COM HASTE 2W 3000K 24V IRC 90 BC;98.35;9.75;2
LM3182;;SPOT DE EMBUTIR REDONDO COM HASTE 5W 3000K 24V IRC 90 PT;114.60;9.75;3
LM3183;;SPOT DE EMBUTIR REDONDO COM HASTE 5W 3000K 24V IRC 90 BC;121.75;9.75;3
LM3184;;SPOT DE EMBUTIR REDONDO COM HASTE 5W 3000K 24V IRC 90 DOURADO;120.35;9.75;3
LM3185;;SPOT DE EMBUTIR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 PT;120.35;9.75;3
LM3186;;SPOT DE EMBUTIR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 BC;125.35;9.75;3
LM3187;;SPOT DE SOBREPOR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 PT;125.55;9.75;3
LM3188;;SPOT DE SOBREPOR REDONDO COM HASTE LONGA 5W 3000K 24V IRC 90 BC;125.55;9.75;3
LM3145;;MAG TRILHO DE SOBREPOR MAGNETICO PT 1M MAX. 24V;54.45;9.75;3
LM3146;;MAG TRILHO DE SOBREPOR MAGNETICO PT 2M MAX. 24V;112.75;9.75;3
LM3147;;MAG TRILHO DE SOBREPOR MAGNETICO PT 3M MAX. 24V;173.05;9.75;3
LM3168;;MAG CONECTOR DE DRIVER P/ TRILHO MAGNETICO PT - MAX 24V;18.15;9.75;3
LM3151;;MAG KIT SOBREPOR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
LM3153;;MAG KIT SOBREPOR TETO-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
LM3148;;MAG TRILHO DE SOBREPOR MAGNETICO BC 1M MAX. 24V;54.45;9.75;3
LM3149;;MAG TRILHO DE SOBREPOR MAGNETICO BC 2M MAX. 24V;112.75;9.75;3
LM3150;;MAG TRILHO DE SOBREPOR MAGNETICO BC 3M MAX. 24V;173.05;9.75;3
LM3169;;MAG CONECTOR DE DRIVER P/ TRILHO MAGNETICO BC - MAX 24V;18.15;9.75;3
LM3152;;MAG KIT SOBREPOR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;82.20;9.75;3
LM3154;;MAG KIT SOBREPOR TETO-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;77.15;9.75;3
LM3155;;MAG KIT PENDENTE PARA TRILHO DE SOBREPOR MAGNETICO CABO: 2M;93.60;9.75;3
LM3156;;MAG TRILHO DE EMBUTIR MAGNETICO PT 1M MAX. 24V;66.85;9.75;3
LM3157;;MAG TRILHO DE EMBUTIR MAGNETICO PT 2M MAX. 24V;134.30;9.75;3
LM3158;;MAG TRILHO DE EMBUTIR MAGNETICO PT 3M MAX. 24V;205.65;9.75;3
LM3162;;MAG KIT EMBUTIR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
LM3164;;MAG KIT EMBUTIR TETO-PAREDE CONECTOR/CONDUTOR/HASTE PT - MAX 24V;77.15;9.75;3
LM3159;;MAG TRILHO DE EMBUTIR MAGNETICO BC 1M MAX. 24V;66.85;9.75;3
LM3160;;MAG TRILHO DE EMBUTIR MAGNETICO BC 2M MAX. 24V;134.30;9.75;3
LM3161;;MAG TRILHO DE EMBUTIR MAGNETICO BC 3M MAX. 24V;205.65;9.75;3
LM3163;;MAG KIT EMBUTIR PAREDE-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;77.15;9.75;3
LM3165;;MAG KIT EMBUTIR TETO-PAREDE CONECTOR/CONDUTOR/HASTE BC - MAX 24V;77.15;9.75;3
LM3170;;MAG TRILHO PENDENTE CILINDRICO DUPLO 1M PT - MAX 24V;183.40;9.75;3
LM3171;;MAG TRILHO PENDENTE CILINDRICO DUPLO 2M PT - MAX 24V;271.25;9.75;3
LM3172;;MAG TRILHO PENDENTE CILINDRICO DUPLO 3M PT - MAX 24V;361.05;9.75;3
LM3173;;MAG TRILHO PENDENTE CILINDRICO DUPLO 1M BC - MAX 24V;183.40;9.75;3
LM3174;;MAG TRILHO PENDENTE CILINDRICO DUPLO 2M BC - MAX 24V;271.25;9.75;3
LM3175;;MAG TRILHO PENDENTE CILINDRICO DUPLO 3M BC - MAX 24V;361.05;9.75;3
LM3555;;MAG LUMINARIA BALL P/ TRILHO MAGNÉTICO 5W 3000K 24V IRC90 PT;128.80;9.75;3
LM3556;;MAG SPOT DIFUSOR LIGHT P/ TRILHO MAGNÉTICO 10W 36° 3000K 24V IRC90 PT;174.75;9.75;3
LM3557;;MAG SPOT DIFUSOR LIGHT P/ TRILHO MAGNÉTICO 10W 36° 3000K 24V IRC90 BC;174.75;9.75;3
LM3166;;"MAG CONECTOR DE ENERGIA ""I"" P/ TRILHO MAGNETICO PT - MAX 24V";22.55;9.75;4
LM3167;;"MAG CONECTOR DE ENERGIA ""I"" P/ TRILHO MAGNETICO BC - MAX 24V";22.55;9.75;4
LM3119;;MAG SPOT P/ TRILHO MAGNETICO 1W 24° 3000K 24V IRC 90 PT;63.25;9.75;4
LM3120;;MAG SPOT P/ TRILHO MAGNETICO 1W 24° 3000K 24V IRC 90 BC;63.25;9.75;4
LM3121;;MAG SPOT P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 PT;89.40;9.75;4
LM3122;;MAG SPOT P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 BC;89.40;9.75;4
LM3123;;MAG SPOT P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 DOURADO;112.70;9.75;4
LM3126;;MAG SPOT P/ TRILHO MAGNETICO 9W 15° 3000K 24V IRC 90 PT;179.55;9.75;4
LM3127;;MAG SPOT P/ TRILHO MAGNETICO 9W 15° 3000K 24V IRC 90 BC;189.99;9.75;4
LM3128;;MAG SPOT P/ TRILHO MAGNETICO 9W 15° 3000K 24V IRC 90 DOURADO;183.40;9.75;4
LM3124;;MAG SPOT P/ TRILHO MAGNETICO ÂNGULO AJUSTAVEL 15°/55° 5W 3000K 24V IRC 90 PT;115.30;9.75;4
LM3125;;MAG SPOT P/ TRILHO MAGNETICO ÂNGULO AJUSTAVEL 15°/55° 5W 3000K 24V IRC 90 BC;115.30;9.75;4
LM3129;;MAG SPOT LATERAL P/ TRILHO MAGNETICO 15W 15° 3000K 24V IRC 90 PT;227.15;9.75;4
LM3130;;MAG SPOT LATERAL P/ TRILHO MAGNETICO 15W 15° 3000K 24V IRC 90 BC;227.15;9.75;4
LM3143;;MAG SPOT PENDENTE P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 PT CABO: 1M;101.45;9.75;4
LM3144;;MAG SPOT PENDENTE P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 BC CABO: 1M;101.45;9.75;4
LM3131;;MAG SPOT FLEXIVEL P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 PT;107.85;9.75;4
LM3132;;MAG SPOT FLEXIVEL P/ TRILHO MAGNETICO 2W 15° 3000K 24V IRC 90 BC;107.85;9.75;4
LM3133;;MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 100MM PT;103.95;9.75;4
LM3134;;MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 5W 15° 3000K 24V IRC 90 100MM BC;103.95;9.75;4
LM3135;;MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 10W 15° 3000K 24V IRC 90 196MM PT;146.50;9.75;4
LM3136;;MAG MODULO CONCENTRADO P/ TRILHO MAGNETICO 10W 15° 3000K 24V IRC 90 196MM BC;146.50;9.75;4
LM3137;;MAG MODULO DIFUSO P/ TRILHO MAGNETICO 10W 3000K 24V IRC 90 300MM PT;87.45;9.75;4
LM3138;;MAG MODULO DIFUSO P/ TRILHO MAGNETICO 10W 3000K 24V IRC 90 300MM BC;87.45;9.75;4
LM3139;;MAG MODULO DIFUSO P/ TRILHO MAGNETICO 20W 3000K 24V IRC 90 600MM PT;133.35;9.75;4
LM3140;;MAG MODULO DIFUSO P/ TRILHO MAGNETICO 20W 3000K 24V IRC 90 600MM BC;138.95;9.75;4
LM3141;;MAG MODULO DIFUSO RECUADO P/ TRILHO MAGNETICO 6W 3000K 24V IRC 90 666MM PT;114.25;9.75;4
LM3142;;MAG MODULO DIFUSO RECUADO P/ TRILHO MAGNETICO 6W 3000K 24V IRC 90 666MM BC;102.35;9.75;4
LM3097;;DE JARDIM LED ROD 7W 3000K 127/220V BLS;38.50;9.75;4
LM3387;;DE JARDIM LED ROD 7W 3000K 127/220V VERDE BLS;37.05;9.75;4
LM3098;;SPOT ROD, COM BASE, LED 7W 3000K 127/220V BLS;37.05;9.75;4
LM3388;;SPOT ROD, COM BASE, LED 7W 3000K 127/220V VERDE BLS;37.05;9.75;4
LM3189;;DE JARDIM LED QAD 7W 3000K 127/220V BLS;23.70;9.75;4
LM3371;;DE JARDIM LED FLUSH 0,5W 3000K 24V PRETO (KIT COM 2 UNIDADES) BLS;108.90;9.75;4
LM3372;;5W AC127V-220V, PARA ESPETO DE JARDIM LED EFEITO FLUSH 24V, IP65 BLS;88.80;9.75;4
LM3054;;LED ARANDELA EMBUTIDA MICRO BORDA BRANCA, 3W, 3000K, 127V/220V IP65;44.35;9.75;4
LM3473;;LED ARANDELA EMBUTIDA MICRO BORDA PRETA, 3W, 3000K, 127V/220V IP65;41.99;9.75;4
LM3099;;DETECT SENSOR PARA MOBILIA ATÉ 2 PORTAS DE SOBREPOR P LED 12V/24V BLS;44.05;9.75;4
LM3100;;TOUCH BOTÃO DE EMBUTIR P LED 12V/24V DIM/LIGA/DESLIGA BLS;27.30;9.75;4
LM3101;;HID INTERRUPTOR OCULTO C SENSOR DE PRESENÇA P LED 12V/24V DIM/LIGA/DESLIGA BLS;30.90;9.75;4
LM2464;;DE PRESENCA PARA FITAS LED COM DIMERIZACAO;30.45;9.75;5
LM2685;;HUB LED RECUADO REDONDO 3W 3000K 127/220V BRANCO;20.80;9.75;5
LM2686;;HUB LED RECUADO REDONDO 3W 3000K 127/220V PRETO;20.80;9.75;5
LM2681;;HUB LED RECUADO REDONDO 7W 3000K 127/220V BRANCO;51.15;9.75;5
LM2682;;HUB LED RECUADO REDONDO 7W 3000K 127/220V PRETO;51.15;9.75;5
LM2683;;HUB LED RECUADO REDONDO 12W 3000K 127/220V BRANCO;75.95;9.75;5
LM2684;;HUB LED RECUADO REDONDO 12W 3000K 127/220V PRETO;75.95;9.75;5
LM3833;;HUB LED RECUADO REDONDO 16W 3000K 127/220V BRANCO;83.20;9.75;5
LM3834;;HUB LED RECUADO REDONDO 16W 3000K 127/220V PRETO;83.20;9.75;5
LM2635;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 BRANCO - POT MAX. 10W;20.30;15.00;5
LM2636;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 PRETO - POT MAX. 10W;20.30;15.00;5
LM2700;;HUB NO FRAME RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 BRANCO - POT MAX. 10W;19.85;15.00;5
LM2701;;HUB NO FRAME RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 PRETO - POT MAX. 10W;19.85;15.00;5
LM2828;;PINO HUB COM LED INTEGRADO 6W 3000K BRANCO PARA SPOT HUB MICRO BORDA E NO FRAME MR16;24.35;9.75;5
LM2829;;PINO HUB COM LED INTEGRADO 6W 3000K PRETO PARA SPOT HUB MICRO BORDA E NO FRAME MR16;24.35;9.75;5
LM3625;;HUB MICRO BORDA RECUADO REDONDO PARA LAMP MINI DICROICA MR11, BASE GU10 BRANCO - POT MAX. 10W;16.10;15.00;5
LM3626;;HUB MICRO BORDA RECUADO REDONDO PARA LAMP MINI DICROICA MR11, BASE GU10 PRETO - POT MAX. 10W;16.10;15.00;5
LM2639;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR70, BASE GU10 BRANCO - POT MAX. 15W;26.90;15.00;5
LM2640;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR70, BASE GU10 PRETO - POT MAX. 15W;26.90;15.00;5
LM2637;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR20, BASE E27 BRANCO - POT MAX. 15W;26.90;15.00;5
LM2638;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR20, BASE E27 PRETO - POT MAX. 15W;26.90;15.00;5
LM2641;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR111, BASE GU10 BRANCO - POT MAX. 20W;36.25;15.00;5
LM2642;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR111, BASE GU10 PRETO - POT MAX. 20W;36.25;15.00;5
LM2643;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR30, BASE E27 BRANCO - POT MAX. 20W;36.25;15.00;5
LM2644;;HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR30, BASE E27 PRETO - POT MAX. 20W;36.25;15.00;5
LM2702;;HUB NO FRAME RECUADO REDONDO PARA LAMPADA AR70, BASE GU10 BRANCO - POT MAX. 15W;25.15;15.00;5
