referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM3654;;LUMINARIA LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 2700K BC/BC;43.20;9.75;1
LM3653;;LUMINARIA LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 2700K PT/PT;43.20;9.75;1
LM3656;;LUMINARIA LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 3000K BC/BC;43.20;9.75;1
LM3655;;LUMINARIA LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 3000K PT/PT;43.20;9.75;1
LM3658;;LUMINARIA LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 4000K BC/BC;43.20;9.75;1
LM3657;;LUMINARIA LED DE EMBUTIR DOT INFINITE 3 SPOTS 6W 4000K PT/PT;43.20;9.75;1
LM3660;;LUMINARIA LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 2700K BC/BC;53.10;9.75;1
LM3659;;LUMINARIA LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 2700K PT/PT;53.10;9.75;1
LM3662;;LUMINARIA LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 3000K BC/BC;53.10;9.75;1
LM3661;;LUMINARIA LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 3000K PT/PT;53.10;9.75;1
LM3664;;LUMINARIA LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 4000K BC/BC;53.10;9.75;1
LM3663;;LUMINARIA LED DE EMBUTIR DOT INFINITE 5 SPOTS 10W 4000K PT/PT;53.10;9.75;1
LM2156;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 2700K BC/PT DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM2161;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 2700K PT/PT DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM2850;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 3000K BC/BC DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM2818;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 3000K BC/PT DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM2823;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 3000K PT/PT DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM3377;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 4000K BC/BC DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM2590;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 4000K BC/PT DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM2595;;LUMINARIA DE LED 1 SPOT DE EMBUTIR 2W 4000K PT/PT DOT-LIGHT CONCENTRADO;22.95;9.75;1
LM2157;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 2700K BC/PT DOT-LIGHT CONCENTRADO;31.75;9.75;1
LM2162;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 2700K PT/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM2851;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 3000K BC/BC DOT-LIGHT CONCENTRADO;32.70;9.75;1
LM2819;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 3000K BC/PT DOT-LIGHT CONCENTRADO;32.70;9.75;1
LM2824;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 3000K PT/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM3378;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 4000K BC/BC DOT-LIGHT CONCENTRADO;32.70;9.75;1
LM2591;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 4000K BC/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM2596;;LUMINARIA DE LED 3 SPOTS DE EMBUTIR 6W 4000K PT/PT DOT-LIGHT CONCENTRADO;31.40;9.75;1
LM2158;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 2700K BC/PT DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM2163;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 2700K PT/PT DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM2852;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 3000K BC/BC DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM2820;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 3000K BC/PT DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM2825;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM3379;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 4000K BC/BC DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM2592;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 4000K BC/PT DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM2597;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR 10W 4000K PT/PT DOT-LIGHT CONCENTRADO;36.20;9.75;1
LM2159;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 2700K BC/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2164;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 2700K PT/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2853;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 3000K BC/BC DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2821;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 3000K BC/PT DOT-LIGHT CONCENTRADO;65.20;9.75;1
LM2826;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 3000K PT/PT DOT-LIGHT CONCENTRADO;65.20;9.75;2
LM3380;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 4000K BC/BC DOT-LIGHT CONCENTRADO;65.20;9.75;2
LM2593;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 4000K BC/PT DOT-LIGHT CONCENTRADO;65.20;9.75;2
LM2598;;LUMINARIA DE LED 10 SPOTS DE EMBUTIR 20W 4000K PT/PT DOT-LIGHT CONCENTRADO;65.20;9.75;2
LM2160;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 2700K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2165;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 2700K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2854;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 3000K BC/BC DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2822;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 3000K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2827;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 3000K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM3381;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 4000K BC/BC DOT-LIGHT CONCENTRADO;102.60;9.75;2
LM2594;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 4000K BC/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2599;;LUMINARIA DE LED 15 SPOTS DE EMBUTIR 30W 4000K PT/PT DOT-LIGHT CONCENTRADO;90.55;9.75;2
LM2915;;LUMINARIA DE LED 3 SPOTS DE SOBREPOR 6W 3000K BC/PT DOT-LIGHT CONCENTRADO;34.20;9.75;2
LM2916;;LUMINARIA DE LED 3 SPOTS DE SOBREPOR 6W 3000K PT/PT DOT-LIGHT CONCENTRADO;34.20;9.75;2
LM2917;;LUMINARIA DE LED 5 SPOTS DE SOBREPOR 10W 3000K BC/PT DOT-LIGHT CONCENTRADO;54.30;9.75;2
LM2918;;LUMINARIA DE LED 5 SPOTS DE SOBREPOR 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;54.30;9.75;2
LM2919;;LUMINARIA DE LED 10 SPOTS DE SOBREPOR 20W 3000K BC/PT DOT-LIGHT CONCENTRADO;82.30;9.75;2
LM2920;;LUMINARIA DE LED 10 SPOTS DE SOBREPOR 20W 3000K PT/PT DOT-LIGHT CONCENTRADO;82.30;9.75;2
LM3382;;ACESSORIO P/ INSTALAÇAO NO FRAME P/ LUMINARIA DOT-LIGHT DE SOBREPOR;17.75;9.75;2
LM3829;;LUMINARIA DE LED 1 SPOT DE EMBUTIR DIRECIONÁVEL 2W 3000K PT/PT DOT-LIGHT CONCENTRADO;0.00;0.00;2
LM3830;;LUMINARIA DE LED 1 SPOT DE EMBUTIR DIRECIONÁVEL 2W 3000K BC/BC DOT-LIGHT CONCENTRADO;0.00;0.00;2
LM3383;;LUMINARIA DE LED 5 SPOTS DE EMBUTIR DIRECIONÁVEL 10W 3000K PT/PT DOT-LIGHT CONCENTRADO;50.99;9.75;2
