referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
9080;;Arandela Linê P;"Largura: 4cm | Altura: 56cm | Profundidade: 23cm
Fita de Led: 2,7W | 3.000K ou 4.000K | 270 lm | 127V ou 220V
Material: Alumínio e Polímero
Cores: Sólidas e Automotivas";347.00;16.60;1
9081;;Arandela Linê M;"Largura: 4cm | Altura: 80cm | Profundidade: 24cm
Fita de Led: 5,4W | 3.000K ou 4.000K | 540 lm | 127V ou 220V
Material: Alumínio e Vidro
Cores: Sólidas e Automotivas";467.86;16.60;1
9082;;Arandela Linê G;"Largura: 4cm | Altura: 1,20 mt | Profundidade: 25cm
de Led: 10,8W | 3.000K ou 4.000K | 1.080 lm | 127V ou 220V
Material: Alumínio e Vidro
Cores: Sólidas e Automotivas";653.29;16.60;1
9085;;Pendente Linê P;"Largura: 80cm | Altura: 30cm | Profundidade: 3cm
Fita de Led: 9W | 3.000K ou 4.000K | 900 lm | 127V ou 220V
Material: Alumínio e Vidro
Cores: Sólidas e Automotivas";601.78;16.60;1
9086;;Pendente Linê M;"Largura: 1 mt | Altura: 30cm | Profundidade: 3cm
de Led: 12,6W | 3.000K ou 4.000K | 1.260 lm | 127V ou 220V
Material: Alumínio e Vidro
Cores: Sólidas e Automotivas";703.84;16.60;1
9087;;Pendente Linê G;"Largura: 1,20 mt | Altura: 30cm | Profundidade: 3cm
de Led: 16,2W | 3.000K ou 4.000K | 1.620 lm | 127V ou 220V
Material: Alumínio e Vidro
Cores: Sólidas e Automotivas";813.13;16.60;1
9088;;Pendente Linê GG;"Largura: 1,50 mt | Altura: 30cm | Profundidade: 3cm
de Led: 21,6W | 3.000K ou 4.000K | 2.160 lm | 127V ou 220V
Material: Alumínio e Vidro
Cores: Sólidas e Automotivas";994.46;16.60;1
6685;;Pendente Jônica P;"Largura: 40cm | Altura: 40cm | Profundidade: 1,5cm
Fita de Led: 8,4W | 3.000K ou 4.000K | 840 lm | 127V ou 220V
Material: Alumínio e Acrílico Canelado
Cores: Sólidas e Automotivas";615.71;16.60;2
6687;;Pendente Jônica G;"Largura: 60cm | Altura: 60cm | Profundidade: 1,5cm
de Led: 11,2W | 3.000K ou 4.000K | 1.120 lm | 127V ou 220V
Material: Alumínio e Acrílico Canelado
Cores: Sólidas e Automotivas";1076.54;16.60;2
6692;;Pendente Jônica Pila P;"Largura: 40cm | Altura: 75cm | Profundidade: 1,5cm
de Led: 10,5W | 3.000K ou 4.000K | 1.050 lm | 127V ou 220V
Material: Alumínio e Acrílico Canelado
Cores: Sólidas e Automotivas";957.74;16.60;2
6693;;Pendente Jônica Pila M;"Largura: 50cm | Altura: 65cm | Profundidade: 1,5cm
de Led: 11,9W | 3.000K ou 4.000K | 1.190 lm | 127V ou 220V
Material: Alumínio e Acrílico Canelado
Cores: Sólidas e Automotivas";674.78;16.60;2
6696;;Pendente Jônica Front;"Largura: 1,40 mt | Altura: 40cm | Profundidade: 1,5cm
de Led: 22,4W | 3.000K ou 4.000K | 2.240 lm | 127V ou 220V
Material: Alumínio e Acrílico Canelado
Cores: Sólidas e Automotivas";1760.94;16.60;2
6700;;Arandela Hayla P;"Largura: 10cm| Altura: 50cm| Profundidade: 5,5cm
Fita de Led: 12,6W | 3.000K ou 4.000K | 1.260 lm | 127V ou 220V
Material: Alumínio e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";853.10;16.60;2
6701;;Arandela Hayla G;"Largura: 10cm| Altura: 1,10m| Profundidade: 5,5cm
Fita de Led: 34,2W | 3.000K ou 4.000K | 3.420 lm | 127V ou 220V
Material: Alumínio e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";1653.49;16.60;2
6704;;Arandela Hayla Dupla;"Largura: 15cm| Altura: 37cm| Profundidade: 9cm
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";841.21;16.60;2
6705;;Arandela Hayla Simples;"Largura: 15cm| Altura: 50cm| Profundidade: 9cm
Base: G-9 02 -Lâmpadas Halopin
Material: Alumínio e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";1103.30;16.60;2
6712;;Pendente Hayla P;"Largura: 50cm| Altura: 10cm| Profundidade: 12cm
Fita de Led: 9,8W | 3.000K ou 4.000K | 980 lm | 127V ou 220V
Material: Alumínio e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";1794.51;16.60;3
6713;;Pendente Hayla G;"Largura: 1,10m| Altura: 10cm| Profundidade: 12cm
Fita de Led: 26,6W | 3.000K ou 4.000K | 2.660 lm | 127V ou 220V
Material: Alumínio e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";3567.55;16.60;3
6717;;Lustre Hayla;"Largura: 85cm| Altura: 35cm| Profundidade: 50cm
Base: G-9 10-Lâmpadas Halopin
Material: Alumínio, Acrílico e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";10130.88;16.60;3
6718;;Lustre Hayla G;"Largura:1,25 mt| Altura: 35cm| Profundidade: 50cm
Base: G-9 14-Lâmpadas Halopin
Material: Alumínio, Acrílico e Pedra Ônix
Cores: Sólidas, Automotivas e Especiais";14898.28;16.60;3
